date,open,high,low,close,volume,dividend
2002-01-02,29.84,30.12,29.32,29.84,346800,0
2002-01-03,30.04,31.34,29.8,31,716400,0
2002-01-04,31.06,31.81,31.04,31.3,435100,0
2002-01-07,31.69,31.7,30.4,30.41,373400,0
2002-01-08,30.88,34.99,30.86,34.96,2429100,0
2002-01-09,35.91,38.5,34.9,35.95,6870300,0
2002-01-10,36.39,36.7,35.09,35.25,2357100,0
2002-01-11,35.25,35.45,33.32,33.91,1352300,0
2002-01-14,33.54,33.54,32.1,32.46,1031700,0
2002-01-15,32.75,33.75,32.55,33.45,814200,0
2002-01-16,33.18,33.24,32.17,32.47,543200,0
2002-01-17,32.88,34.2,32.4,34.2,614300,0
2002-01-18,33.85,33.89,33.09,33.36,512400,0
2002-01-22,33.51,34.27,32.7,32.73,576500,0
2002-01-23,33.04,33.23,32.1,32.5,481600,0
2002-01-24,32.62,32.98,31.85,32.78,642700,0
2002-01-25,32.6,32.7,32.18,32.26,301800,0
2002-01-28,32.6,32.6,30.65,31.09,790900,0
2002-01-29,31.35,31.86,30.88,31.27,543300,0
2002-01-30,31.15,31.69,28.88,31.22,1332400,0
2002-01-31,31.53,31.99,30.54,31.1,545500,0
2002-02-01,30.79,33.44,30.13,32.97,1393600,0
2002-02-04,32.9,33.25,30.58,31.35,1128400,0
2002-02-05,30.81,31.05,28.85,29.31,882700,0
2002-02-06,29.32,29.69,27.8,27.88,798800,0
2002-02-07,27.86,29.02,27.86,28.62,524100,0
2002-02-08,29.06,29.3,27.5,28.3,725200,0
2002-02-11,28.5,29.95,28.3,29.51,907300,0
2002-02-12,29.76,30.64,29,30.05,489100,0
2002-02-13,29.65,29.95,27.72,28.45,1812200,0
2002-02-14,28.4,28.9,27.32,27.78,1380700,0
2002-02-15,27.55,27.7,24.91,25.34,2297400,0
2002-02-19,25.5,26.45,24.53,24.61,1425200,0
2002-02-20,24.76,25.1,23.51,24.34,1240900,0
2002-02-21,24.26,25.44,23.89,24.46,1061600,0
