date,open,high,low,close,volume,dividend
2009-04-16,146.3,147.93,144.93,145.35,11361,0
2009-04-17,143,143.25,138.03,138.85,30050,0
2009-04-20,142.9,147.28,142.9,147.28,6752,0
2009-04-21,151.03,152.43,142.78,142.82,15571,0
2009-04-22,142.75,142.75,136.25,137.95,25269,0
2009-04-23,138.13,139.68,136.18,138.68,35968,0
2009-04-24,136.18,136.18,131.75,131.88,51440,0
2009-04-27,135.65,135.74,130.85,135.74,8437,0
2009-04-28,134.3,134.45,126.38,127.97,6875,0
2009-04-29,128.5,131.07,122.18,123.75,18117,0
2009-04-30,121.53,122.5,119.38,121.53,32855,0
2009-05-01,117.83,119.48,117.5,119.33,6232,0
2009-05-04,119.23,120.88,118.38,120.88,16175,0
2009-05-05,121.05,122.48,118.45,120.85,21217,0
2009-05-06,120.73,122.13,118.35,118.58,47839,0
2009-05-07,113.53,115.85,106.5,108.3,60377,0
2009-05-08,108.9,110.68,107.93,109.28,19319,0
2009-05-11,113.35,114.37,112.03,114.28,36519,0
2009-05-12,112.9,116.33,111.83,115.8,20012,0
2009-05-13,118.65,120.58,118.3,119.18,52740,0
2009-05-14,117.83,121.3,117.83,121.15,14230,0
2009-05-15,120.05,120.5,118.55,120,25636,0
2009-05-18,118.78,118.9,113.5,113.5,11874,0
2009-05-19,112.9,113.2,111,111.7,6719,0
2009-05-20,112.5,116.28,111.13,115.78,12960,0
2009-05-21,118.25,118.25,105.43,105.58,23535,0
2009-05-22,103.63,105.18,101.13,102.58,19500,0
2009-05-26,103.95,103.95,96.8,96.8,18015,0
2009-05-27,96.1,97.5,90.56,91.18,28069,0
2009-05-28,96.03,96.3,90.63,95,111495,0
2009-05-29,95.68,104.28,95.33,103.83,45146,0
2009-06-01,97.5,97.5,91.93,93.75,43033,0
2009-06-02,95.73,96.25,92.58,95.43,55584,0
2009-06-03,97.5,98.75,93.9,97.63,41832,0
2009-06-04,94.25,95.02,90,91.2,28696,0
2009-06-05,89.58,92.75,88.03,88.88,161290,0
2009-06-08,91.43,92.03,87.73,88.08,42495,0
2009-06-09,90.18,90.46,86.95,88.33,83730,0
2009-06-10,85.75,87.08,78.35,83.23,399202,0
2009-06-11,81.72,87.8,81.35,86.5,190322,0
2009-06-12,87.35,90.9,87.35,88.73,121580,0
2009-06-15,90.95,92.68,90.35,91.43,79537,0
2009-06-16,92.03,96.6,91.48,96.6,76865,0
2009-06-17,96.6,99.65,94.4,94.55,67754,0
2009-06-18,92.4,93.4,88.55,90.95,58754,0
2009-06-19,89.68,94.31,89.5,94.31,41335,0
2009-06-22,96.93,98.43,95,97.52,78098,0
2009-06-23,97.58,101.38,97.03,100.9,105869,0
2009-06-24,100.4,105,96.85,97.13,135150,0
2009-06-25,99.28,103.75,97.35,103.7,85467,0
2009-06-26,103.75,105.25,102.33,104.3,31225,0
2009-06-29,105.28,106.3,97.28,104.43,86474,0
2009-06-30,101.2,105.3,100.8,103.79,14420,0
2009-07-01,100.8,102.68,99.95,102.68,50107,0
2009-07-02,103.25,104.65,102.6,103.8,31795,0
2009-07-06,101.45,102.88,99.98,102.6,37015,0
2009-07-07,101.05,104.95,96.7,104.88,58760,0
2009-07-08,106.2,112.53,105.58,111.39,97475,0
2009-07-09,107.03,107.68,103.08,106.4,63231,0
2009-07-10,108.06,111.18,107.18,110.43,41154,0
2009-07-13,110.6,111.35,107.63,107.83,27141,0
2009-07-14,104.8,106.61,100.95,101.85,34104,0
2009-07-15,97.01,98.33,93.4,93.4,55230,0
2009-07-16,97.6,98.95,96.75,97.03,53350,0
2009-07-17,94.6,95.8,92.75,92.75,39223,0
2009-07-20,91.18,96.23,90.83,93.92,94334,0
2009-07-21,92.88,100.75,92.6,100.3,57141,0
2009-07-22,99.95,99.95,95.93,97.2,50885,0
2009-07-23,97.75,97.75,89.76,91.1,38764,0
2009-07-24,91.45,92.73,90.67,92.45,41906,0
2009-07-27,89,90.05,88,89.4,43159,0
2009-07-28,90.4,93.83,89.2,92.08,55074,0
2009-07-29,95.2,95.48,91.7,93.5,41865,0
2009-07-30,92.88,98.08,92.15,98.08,84201,0
2009-07-31,100.5,104.26,98.93,104.1,60553,0
2009-08-03,103.65,103.65,97.4,98.73,69771,0
2009-08-04,99.45,101.2,93.75,96.28,20410,0
2009-08-05,93.1,97.68,91.08,91.08,72950,0
2009-08-06,91.1,94.23,89.48,92.38,39382,0
2009-08-07,89.55,90.75,88.75,89.3,45515,0
2009-08-10,89.7,93.35,89.26,93.23,25213,0
2009-08-11,96.05,97.36,95.25,97.08,22905,0
2009-08-12,97.1,97.13,91.35,92.78,24524,0
2009-08-13,93.3,97.93,92.36,97.93,42420,0
2009-08-14,98.15,101.81,98.15,98.93,19626,0
2009-08-17,100.43,103.13,100.03,102.85,57088,0
2009-08-18,102.88,103.28,100.45,100.98,15220,0
2009-08-19,104.6,105.35,101.73,104.15,24571,0
2009-08-20,105.33,107.03,103.93,107.03,19590,0
2009-08-21,106.4,107.5,99.03,99.08,66890,0
2009-08-24,97.98,104.88,97.95,104.88,44871,0
2009-08-25,105.25,107.8,103.95,107.8,18068,0
2009-08-26,108.05,109.27,107.04,109.25,72987,0
2009-08-27,107.12,108.99,106.3,107,11138,0
2009-08-28,105.5,109.28,105,109.28,12580,0
2009-08-31,108.75,110.66,106.63,110.18,38806,0
2009-09-01,108.35,111.93,102.8,109.05,38573,0
2009-09-02,110.88,115.15,109.92,114.48,150658,0
2009-09-03,111.98,112.9,110.38,111.33,48009,0
2009-09-04,109.9,110.25,104.46,105.08,63324,0
2009-09-08,103.18,105.23,102.38,102.58,22881,0
2009-09-09,100.35,102.25,98.78,102.25,54182,0
2009-09-10,104.33,110.93,104.33,108.75,76343,0
2009-09-11,111.35,114,110.15,110.7,45650,0
2009-09-14,108.55,110.45,106.88,107.23,29330,0
2009-09-15,105.55,107.03,104.45,105.25,11665,0
2009-09-16,106.15,107.86,103.53,106.25,35755,0
2009-09-17,107.2,110.88,105.68,110.58,31040,0
2009-09-18,109.1,110.1,107,107.63,18176,0
2009-09-21,108.38,109.65,106.05,107.98,14710,0
2009-09-22,106.28,108.8,105.7,108.2,54041,0
2009-09-23,106.98,109.23,106.28,108,17195,0
2009-09-24,108.53,110.94,108.53,110.05,20953,0
2009-09-25,112.13,114.48,109.98,114.35,50215,0
2009-09-28,115.33,118.15,115,117.8,41048,0
2009-09-29,115.77,118.83,115,117.75,14365,0
2009-09-30,116.55,118.54,116.11,117.48,25625,0
2009-10-01,119.38,123.65,119.2,122.24,54417,0
2009-10-02,124.75,124.93,118.89,119.63,31464,0
2009-10-05,121.55,121.55,118.5,119.35,12428,0
2009-10-06,118.8,118.8,115.25,115.4,13923,0
2009-10-07,118.38,120.36,118.13,119.85,16871,0
2009-10-08,121.95,122.43,114.2,115.65,36191,0
2009-10-09,114.23,114.6,105.66,107.23,72232,0
2009-10-12,107.93,109.05,106.85,108.63,44768,0
