date,open,high,low,close,volume,dividend
2010-02-11,0.2,0.22,0.2,0.22,17990,0
2010-02-12,0.21,0.22,0.21,0.22,44780,0
2010-02-16,0.22,0.23,0.22,0.23,50082,0
2010-02-17,0.23,0.23,0.23,0.23,99878,0
2010-02-18,0.23,0.24,0.23,0.23,202430,0
2010-02-19,0.23,0.24,0.23,0.23,242088,0
2010-02-22,0.24,0.24,0.23,0.23,132821,0
2010-02-23,0.23,0.23,0.22,0.22,214150,0
2010-02-24,0.23,0.23,0.23,0.23,183912,0
2010-02-25,0.22,0.23,0.22,0.23,237571,0
2010-02-26,0.23,0.23,0.23,0.23,150009,0
2010-03-01,0.24,0.24,0.24,0.24,74095,0
2010-03-02,0.24,0.25,0.24,0.24,126156,0
2010-03-03,0.25,0.25,0.24,0.25,124883,0
2010-03-04,0.25,0.25,0.24,0.25,76763,0
2010-03-05,0.25,0.26,0.25,0.26,69955,0
2010-03-08,0.26,0.26,0.26,0.26,65984,0
2010-03-09,0.26,0.27,0.26,0.26,120877,0
2010-03-10,0.27,0.27,0.27,0.27,104310,0
2010-03-11,0.27,0.27,0.27,0.27,140402,0
2010-03-12,0.28,0.28,0.27,0.27,94047,0
2010-03-15,0.27,0.27,0.27,0.27,110330,0
2010-03-16,0.28,0.28,0.27,0.28,121337,0
2010-03-17,0.28,0.28,0.28,0.28,103630,0
2010-03-18,0.28,0.28,0.28,0.28,136392,0
2010-03-19,0.28,0.29,0.27,0.28,104216,0
2010-03-22,0.27,0.29,0.27,0.29,153108,0
2010-03-23,0.29,0.29,0.28,0.29,144007,0
2010-03-24,0.29,0.29,0.29,0.29,232331,0
2010-03-25,0.29,0.3,0.28,0.29,244573,0
2010-03-26,0.29,0.29,0.28,0.29,219473,0
2010-03-29,0.29,0.29,0.29,0.29,99059,0
2010-03-30,0.29,0.3,0.29,0.29,103865,0
2010-03-31,0.29,0.29,0.29,0.29,155022,0
2010-04-01,0.29,0.3,0.28,0.29,303645,0
2010-04-05,0.29,0.3,0.29,0.3,175929,0
2010-04-06,0.3,0.3,0.29,0.3,152942,0
2010-04-07,0.3,0.3,0.29,0.3,276625,0
2010-04-08,0.29,0.3,0.29,0.3,181368,0
2010-04-09,0.3,0.31,0.3,0.3,151244,0
2010-04-12,0.31,0.31,0.3,0.31,127080,0
2010-04-13,0.31,0.31,0.3,0.31,175077,0
2010-04-14,0.32,0.32,0.31,0.32,159100,0
2010-04-15,0.32,0.33,0.32,0.33,119189,0
2010-04-16,0.32,0.33,0.31,0.31,337185,0
