date,open,high,low,close,volume,dividend
2009-06-25,1.13,1.21,1.13,1.21,35770,0
2009-06-26,1.2,1.21,1.18,1.2,182014,0
2009-06-29,1.21,1.24,1.19,1.23,120722,0
2009-06-30,1.23,1.24,1.18,1.2,237894,0
2009-07-01,1.22,1.25,1.21,1.22,167216,0
2009-07-02,1.17,1.17,1.12,1.12,406513,0
2009-07-06,1.09,1.12,1.07,1.12,314140,0
2009-07-07,1.11,1.12,1.05,1.05,404137,0
2009-07-08,1.07,1.08,1.01,1.05,693073,0
2009-07-09,1.07,1.08,1.05,1.06,637590,0
2009-07-10,1.04,1.07,1.03,1.05,712270,0
2009-07-13,1.06,1.13,1.04,1.12,606914,0
2009-07-14,1.14,1.15,1.11,1.15,537403,0
2009-07-15,1.19,1.25,1.18,1.24,514580,0
2009-07-16,1.23,1.29,1.23,1.28,644704,0
2009-07-17,1.27,1.28,1.25,1.28,380157,0
2009-07-20,1.3,1.33,1.28,1.31,518124,0
2009-07-21,1.35,1.35,1.29,1.34,637436,0
2009-07-22,1.31,1.36,1.31,1.33,523461,0
2009-07-23,1.34,1.44,1.34,1.42,764670,0
2009-07-24,1.4,1.44,1.38,1.44,836737,0
2009-07-27,1.44,1.46,1.41,1.45,625745,0
2009-07-28,1.42,1.45,1.4,1.44,646372,0
2009-07-29,1.41,1.44,1.39,1.42,776865,0
2009-07-30,1.48,1.52,1.46,1.47,776709,0
2009-07-31,1.47,1.5,1.45,1.47,762225,0
2009-08-03,1.52,1.55,1.5,1.54,551517,0
2009-08-04,1.52,1.57,1.52,1.56,487292,0
2009-08-05,1.56,1.57,1.51,1.55,870954,0
2009-08-06,1.57,1.57,1.5,1.52,963487,0
2009-08-07,1.57,1.62,1.54,1.58,613140,0
2009-08-10,1.56,1.58,1.54,1.57,647931,0
2009-08-11,1.55,1.55,1.5,1.51,677252,0
2009-08-12,1.5,1.59,1.5,1.56,1000341,0
2009-08-13,1.58,1.6,1.54,1.6,1400087,0
2009-08-14,1.6,1.6,1.51,1.56,1001713,0
2009-08-17,1.47,1.47,1.44,1.44,1170425,0
2009-08-18,1.46,1.49,1.45,1.48,742079,0
2009-08-19,1.44,1.53,1.44,1.52,856959,0
2009-08-20,1.52,1.57,1.51,1.57,716336,0
2009-08-21,1.6,1.66,1.59,1.65,854587,0
2009-08-24,1.68,1.7,1.64,1.65,840043,0
2009-08-25,1.68,1.71,1.66,1.66,1192266,0
2009-08-26,1.65,1.69,1.63,1.66,1166889,0
2009-08-27,1.66,1.69,1.61,1.68,1551903,0
2009-08-28,1.72,1.72,1.64,1.67,1178858,0
2009-08-31,1.63,1.64,1.6,1.63,1434901,0
2009-09-01,1.61,1.67,1.51,1.52,1910218,0
2009-09-02,1.5,1.53,1.49,1.51,936210,0
2009-09-03,1.53,1.55,1.5,1.54,737794,0
2009-09-04,1.55,1.61,1.54,1.61,878616,0
2009-09-08,1.65,1.65,1.62,1.65,886340,0
2009-09-09,1.66,1.7,1.64,1.69,757130,0
2009-09-10,1.69,1.74,1.66,1.74,900340,0
2009-09-11,1.75,1.76,1.71,1.74,918498,0
2009-09-14,1.69,1.77,1.69,1.77,783422,0
2009-09-15,1.77,1.81,1.74,1.79,1071516,0
2009-09-16,1.8,1.87,1.79,1.87,995627,0
2009-09-17,1.86,1.9,1.83,1.86,1342073,0
2009-09-18,1.88,1.88,1.85,1.86,1220402,0
2009-09-21,1.82,1.86,1.81,1.85,813488,0
2009-09-22,1.88,1.89,1.86,1.88,785726,0
2009-09-23,1.89,1.93,1.82,1.83,1513739,0
2009-09-24,1.84,1.85,1.75,1.77,1373340,0
2009-09-25,1.76,1.79,1.72,1.74,1281960,0
2009-09-28,1.76,1.85,1.76,1.83,862248,0
2009-09-29,1.85,1.87,1.81,1.82,1050668,0
2009-09-30,1.84,1.84,1.75,1.8,1950413,0
2009-10-01,1.79,1.79,1.66,1.66,1361717,0
2009-10-02,1.62,1.67,1.62,1.65,1249303,0
2009-10-05,1.66,1.73,1.65,1.71,687847,0
2009-10-06,1.75,1.82,1.75,1.79,1026981,0
2009-10-07,1.77,1.81,1.77,1.8,775086,0
2009-10-08,1.84,1.87,1.82,1.85,1032115,0
2009-10-09,1.85,1.88,1.83,1.88,461369,0
2009-10-12,1.91,1.92,1.88,1.9,408146,0
2009-10-13,1.88,1.9,1.85,1.89,950465,0
2009-10-14,1.95,1.99,1.93,1.99,1083662,0
2009-10-15,1.96,2.01,1.95,2,1264765,0
2009-10-16,1.96,1.98,1.92,1.96,1270058,0
2009-10-19,1.97,2.03,1.95,2.01,1074815,0
2009-10-20,2.02,2.02,1.95,1.98,1214540,0
2009-10-21,1.97,2.04,1.92,1.93,1079091,0
2009-10-22,1.92,2,1.88,1.98,1055105,0
2009-10-23,2,2,1.89,1.92,1599993,0
2009-10-26,1.92,1.98,1.84,1.85,1232007,0
2009-10-27,1.86,1.88,1.81,1.83,1353164,0
2009-10-28,1.81,1.83,1.72,1.72,1361761,0
2009-10-29,1.76,1.84,1.75,1.83,1563698,0
2009-10-30,1.82,1.83,1.67,1.68,3031141,0
2009-11-02,1.7,1.76,1.65,1.71,2790976,0
2009-11-03,1.68,1.73,1.67,1.73,2109204,0
2009-11-04,1.77,1.81,1.73,1.74,2172369,0
2009-11-05,1.78,1.84,1.77,1.83,1089396,0
2009-11-06,1.8,1.86,1.79,1.85,1741088,0
2009-11-09,1.89,1.98,1.89,1.98,1091536,0
2009-11-10,1.96,2,1.94,1.97,1792224,0
2009-11-11,2.02,2.04,1.98,2.01,2171106,0
2009-11-12,2,2.03,1.93,1.94,2301690,0
2009-11-13,1.96,2,1.93,1.98,974241,0
2009-11-16,2.02,2.09,2.02,2.06,1349882,0
2009-11-17,2.05,2.07,2.03,2.07,1056664,0
2009-11-18,2.07,2.08,2.03,2.07,1048157,0
2009-11-19,2.03,2.03,1.95,1.99,1057757,0
2009-11-20,1.96,1.98,1.94,1.97,813433,0
2009-11-23,2.04,2.08,2.03,2.04,1087513,0
2009-11-24,2.05,2.06,2,2.05,1240756,0
2009-11-25,2.06,2.08,2.04,2.07,868541,0
2009-11-27,1.9,2.01,1.9,1.97,956388,0
2009-11-30,1.96,2,1.94,1.99,1620382,0
2009-12-01,2.04,2.08,2.03,2.06,1168216,0
2009-12-02,2.06,2.1,2.04,2.06,1402980,0
2009-12-03,2.08,2.11,2.01,2.01,1431023,0
2009-12-04,2.09,2.12,1.99,2.04,2300173,0
2009-12-07,2.04,2.07,2.02,2.03,1053410,0
2009-12-08,2,2,1.95,1.97,1122333,0
2009-12-09,1.97,2,1.94,1.99,1279392,0
2009-12-10,2.03,2.05,2.01,2.02,996430,0
2009-12-11,2.05,2.06,2.02,2.05,1745617,0
2009-12-14,2.09,2.1,2.06,2.09,1033493,0
2009-12-15,2.07,2.09,2.04,2.06,1184387,0
2009-12-16,2.09,2.11,2.06,2.07,1435307,0
2009-12-17,2.03,2.04,1.99,2,1718151,0
2009-12-18,2.03,2.03,1.98,2.03,1364421,0
2009-12-21,2.06,2.11,2.06,2.09,1342394,0
2009-12-22,2.1,2.13,2.1,2.11,622618,0
2009-12-23,2.13,2.13,2.1,2.13,581005,0
2009-12-24,2.14,2.16,2.14,2.16,295167,0
2009-12-28,2.19,2.19,2.15,2.17,546274,0
2009-12-29,2.19,2.19,2.16,2.16,547890,0
2009-12-30,2.14,2.16,2.14,2.15,424016,0
2009-12-31,2.17,2.17,2.09,2.09,375979,0
2010-01-04,2.15,2.2,2.15,2.2,1428037,0
2010-01-05,2.2,2.22,2.17,2.22,1514764,0
2010-01-06,2.21,2.24,2.21,2.22,1500210,0
2010-01-07,2.21,2.26,2.19,2.25,1069500,0
2010-01-08,2.23,2.27,2.22,2.27,1241446,0
2010-01-11,2.3,2.31,2.25,2.28,1459498,0
2010-01-12,2.24,2.25,2.19,2.22,1230266,0
2010-01-13,2.23,2.29,2.2,2.27,1650616,0
2010-01-14,2.26,2.3,2.26,2.29,1314858,0
2010-01-15,2.28,2.28,2.19,2.22,2552662,0
2010-01-19,2.21,2.31,2.21,2.3,1415239,0
2010-01-20,2.25,2.25,2.17,2.23,2092858,0
2010-01-21,2.23,2.25,2.09,2.1,3295355,0
2010-01-22,2.07,2.09,1.95,1.96,3523747,0
2010-01-25,2.01,2.02,1.97,1.99,1261498,0
2010-01-26,1.96,2.03,1.95,1.96,1398193,0
2010-01-27,1.96,2,1.91,1.99,1837359,0
2010-01-28,2.01,2.01,1.89,1.92,1628161,0
2010-01-29,1.95,1.99,1.85,1.86,1454565,0
2010-02-01,1.9,1.95,1.89,1.95,1277266,0
2010-02-02,1.96,2.03,1.94,2.02,1236477,0
2010-02-03,1.99,2.02,1.97,1.99,987962,0
2010-02-04,1.94,1.94,1.8,1.81,3095224,0
2010-02-05,1.81,1.82,1.71,1.82,3516412,0
2010-02-08,1.82,1.85,1.77,1.78,1837083,0
2010-02-09,1.84,1.89,1.79,1.84,2690548,0
2010-02-10,1.83,1.86,1.78,1.83,1755765,0
2010-02-11,1.82,1.89,1.79,1.89,1539653,0
2010-02-12,1.83,1.88,1.8,1.88,1860784,0
2010-02-16,1.93,1.98,1.9,1.97,1422144,0
2010-02-17,2,2.01,1.97,2,1405716,0
2010-02-18,1.99,2.05,1.99,2.04,1374031,0
2010-02-19,2.02,2.07,2,2.05,1148444,0
2010-02-22,2.07,2.07,2.03,2.05,1566426,0
2010-02-23,2.03,2.05,1.96,1.97,1254424,0
2010-02-24,1.99,2.04,1.98,2.03,1375980,0
2010-02-25,1.94,2.02,1.92,2.02,1231265,0
2010-02-26,2.02,2.04,1.99,2.02,1048268,0
2010-03-01,2.05,2.09,2.05,2.09,1009372,0
2010-03-02,2.11,2.13,2.09,2.1,1297748,0
2010-03-03,2.12,2.15,2.09,2.11,1316060,0
2010-03-04,2.12,2.14,2.09,2.13,1029369,0
2010-03-05,2.17,2.22,2.15,2.22,1051330,0
2010-03-08,2.22,2.24,2.21,2.22,793371,0
2010-03-09,2.2,2.26,2.2,2.23,1134667,0
2010-03-10,2.23,2.28,2.23,2.26,1243884,0
2010-03-11,2.25,2.29,2.22,2.29,1288209,0
2010-03-12,2.32,2.32,2.27,2.29,995330,0
2010-03-15,2.28,2.3,2.24,2.29,998679,0
2010-03-16,2.31,2.35,2.29,2.35,1352854,0
2010-03-17,2.37,2.41,2.36,2.39,758676,0
2010-03-18,2.39,2.4,2.36,2.38,980035,0
2010-03-19,2.41,2.41,2.32,2.35,1432555,0
2010-03-22,2.31,2.4,2.3,2.38,933514,0
2010-03-23,2.4,2.44,2.37,2.44,1019781,0
2010-03-24,2.41,2.43,2.38,2.4,1184972,0
2010-03-25,2.45,2.48,2.38,2.39,1078683,0
2010-03-26,2.4,2.44,2.36,2.39,1304134,0
2010-03-29,2.42,2.44,2.41,2.43,758368,0
2010-03-30,2.44,2.46,2.4,2.43,1057663,0
2010-03-31,2.4,2.44,2.38,2.41,1358844,0
2010-04-01,2.46,2.48,2.41,2.46,804182,0
2010-04-05,2.49,2.52,2.47,2.52,1157452,0
2010-04-06,2.5,2.55,2.49,2.53,723163,0
2010-04-07,2.52,2.54,2.46,2.49,2044762,0
2010-04-08,2.46,2.53,2.44,2.52,1691645,0
2010-04-09,2.53,2.57,2.52,2.57,1497761,0
2010-04-12,2.58,2.6,2.57,2.58,1611213,0
2010-04-13,2.57,2.6,2.53,2.59,1280416,0
2010-04-14,2.61,2.67,2.6,2.67,1455692,0
2010-04-15,2.66,2.7,2.66,2.68,1395601,0
2010-04-16,2.65,2.67,2.51,2.55,2742789,0
2010-04-19,2.53,2.59,2.49,2.58,2241493,0
2010-04-20,2.63,2.65,2.6,2.65,1073764,0
2010-04-21,2.65,2.67,2.59,2.63,1548714,0
2010-04-22,2.58,2.67,2.53,2.66,1459468,0
2010-04-23,2.65,2.71,2.63,2.71,1333426,0
2010-04-26,2.71,2.73,2.67,2.68,1090918,0
2010-04-27,2.63,2.67,2.47,2.49,2150111,0
2010-04-28,2.53,2.56,2.48,2.54,2447852,0
2010-04-29,2.59,2.66,2.59,2.64,1098284,0
2010-04-30,2.64,2.65,2.5,2.5,1333341,0
2010-05-03,2.54,2.62,2.53,2.61,1238650,0
2010-05-04,2.51,2.52,2.38,2.42,1917777,0
2010-05-05,2.36,2.44,2.33,2.38,1719728,0
2010-05-06,2.35,2.38,1.49,2.14,2758406,0
2010-05-07,2.12,2.19,1.95,2.05,2065871,0
2010-05-10,2.29,2.34,2.24,2.31,2568509,0
2010-05-11,2.25,2.38,2.24,2.29,1507493,0
2010-05-12,2.32,2.4,2.31,2.39,1274174,0
2010-05-13,2.37,2.4,2.29,2.3,992073,0
2010-05-14,2.25,2.26,2.11,2.18,1779891,0
2010-05-17,2.19,2.21,2.05,2.18,1731510,0
2010-05-18,2.23,2.25,2.07,2.09,1626613,0
2010-05-19,2.05,2.11,1.98,2.05,1934231,0
2010-05-20,1.92,1.95,1.82,1.82,2951506,0
2010-05-21,1.74,1.91,1.72,1.88,2441791,0
2010-05-24,1.87,1.91,1.82,1.83,1865853,0
2010-05-25,1.69,1.83,1.66,1.83,2413174,0
2010-05-26,1.87,1.92,1.78,1.79,2503826,0
2010-05-27,1.9,1.98,1.88,1.98,2127138,0
2010-05-28,1.97,1.97,1.88,1.9,2143374,0
2010-06-01,1.85,1.93,1.8,1.81,2382213,0
2010-06-02,1.84,1.95,1.81,1.95,2045532,0
2010-06-03,1.97,1.99,1.91,1.97,1901494,0
2010-06-04,1.86,1.89,1.74,1.77,2906886,0
2010-06-07,1.78,1.8,1.69,1.7,2350947,0
2010-06-08,1.7,1.76,1.65,1.74,2410074,0
2010-06-09,1.78,1.83,1.7,1.72,2892080,0
2010-06-10,1.81,1.88,1.8,1.87,1873750,0
2010-06-11,1.82,1.9,1.82,1.9,2202524,0
2010-06-14,1.94,1.97,1.88,1.89,3282423,0
2010-06-15,1.93,2.02,1.92,2.02,1991076,0
2010-06-16,1.99,2.04,1.98,2.02,2610012,0
2010-06-17,2.03,2.04,1.97,2.03,3447262,0
2010-06-18,2.04,2.06,2.01,2.03,1812694,0
2010-06-21,2.11,2.11,1.98,2.01,1968717,0
2010-06-22,2.01,2.04,1.91,1.91,2751712,0
2010-06-23,1.92,1.94,1.86,1.89,2358284,0
2010-06-24,1.87,1.87,1.79,1.8,3369128,0
2010-06-25,1.82,1.85,1.77,1.84,2586337,0
2010-06-28,1.83,1.85,1.79,1.8,1831892,0
2010-06-29,1.73,1.73,1.61,1.64,3466484,0
2010-06-30,1.62,1.67,1.57,1.58,2208274,0
2010-07-01,1.59,1.6,1.49,1.57,4034268,0
2010-07-02,1.59,1.6,1.52,1.55,1977046,0
2010-07-06,1.61,1.64,1.53,1.57,2323717,0
2010-07-07,1.59,1.73,1.58,1.72,2222558,0
2010-07-08,1.76,1.78,1.71,1.77,1903141,0
2010-07-09,1.77,1.81,1.76,1.81,1005914,0
2010-07-12,1.79,1.83,1.77,1.82,919782,0
2010-07-13,1.87,1.92,1.86,1.9,1714076,0
2010-07-14,1.88,1.92,1.86,1.9,1008154,0
2010-07-15,1.9,1.92,1.82,1.9,1361773,0
2010-07-16,1.87,1.87,1.73,1.74,2077833,0
2010-07-19,1.76,1.79,1.72,1.78,1736290,0
2010-07-20,1.7,1.84,1.7,1.83,1829056,0
2010-07-21,1.86,1.86,1.74,1.76,2181735,0
2010-07-22,1.82,1.9,1.82,1.88,1769919,0
2010-07-23,1.87,1.94,1.85,1.93,1691449,0
2010-07-26,1.93,1.99,1.92,1.99,1378616,0
2010-07-27,2.02,2.03,1.96,1.99,1396780,0
2010-07-28,1.97,1.99,1.93,1.95,1123775,0
2010-07-29,1.98,2,1.87,1.92,1678930,0
2010-07-30,1.86,1.95,1.85,1.92,1630937,0
2010-08-02,2.01,2.06,1.98,2.05,1028988,0
2010-08-03,2.03,2.05,2,2.02,1105419,0
2010-08-04,2.04,2.07,2.01,2.06,1139293,0
2010-08-05,2.02,2.06,2.01,2.05,1122414,0
2010-08-06,1.99,2.04,1.95,2.03,1403271,0
2010-08-09,2.06,2.07,2.02,2.06,672399,0
2010-08-10,2.01,2.06,1.97,2.03,1562291,0
2010-08-11,1.93,1.93,1.85,1.86,1594019,0
2010-08-12,1.77,1.84,1.77,1.83,1076097,0
2010-08-13,1.81,1.84,1.8,1.81,1057112,0
2010-08-16,1.77,1.82,1.75,1.81,1240689,0
